course_name,course_id,professor,course_description,session,days,time,prof_search,mean_rating,mean_workload,graph_rating,graph_workload,url
Proseminar on Inequality and Social Policy II,SUP 922,Hochschild,The second doctoral seminar in the Inequality and Social Policy three-course sequence. Open to second-year Social Policy PhD students and Inequality & Social Policy PhD fellows.,Full Term,M/W,1:30pm - 3:30pm,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 922(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Strategic Finance for Nonprofit Leaders,MLD 427 B,Honan,"This course provides a general introduction to and overview of the financial management practices and problems of nonprofit organizations. Specific topics will include financial accounting, budgeting/resource allocation, cost containment and retrenchment, and strategy development/strategic planning. Course activities will include lectures, discussions, case analyses, exercises, and outside readings. Grades will be based on written case analyses, class participation, and a final take-home examina",Full Term,M/W,9:00am - 10:15am,"Honan, James",4.07,2.839230769230769,-0.364666666666667,-0.463102564102564,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 427 B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Science, Technology, and Society: Research Seminar (spring)",IGA 956Y,Jasanoff,"A year-long research methods seminar in Science and Technology Studies that trains doctoral students (and postdocs) in identifying, analyzing, and writing about significant issues at the intersection of science, technology, and public policy. Students are expected to deepen their knowledge of major STS analytic frameworks, present their own research, read and critique other students' writings, and prepare occasional short analytic pieces for online publication.",Full Term,T,12:15pm - 2:00pm,"Jasanoff, Sheila",4.768666666666666,3.831666666666666,0.334,0.529333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 956Y(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Knowledge As Power in Law and Science,IGA 518,Jasanoff,"How is expertise produced, disseminated, controlled and challenged? How do experts combine knowledge, common-sense, analytics, argument, lifestyle, character? How does expertise write itself into power--or submission? Through what moves does expertise become rulership? What is the work of disciplinary formations and the professions in reproducing practices of knowledge-making and professional judgment? How ought one to go about mapping the political implications of expertise, and how interpret t",Full Term,M,6:00pm - 8:00pm,"Jasanoff, Sheila",4.768666666666666,3.831666666666666,0.334,0.529333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 518(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Second-Year Policy Analysis Seminar (spring),DEV 250Y A,Jensen,"This is a required second-year paper for students in the MPA/ID program, aimed at integrating course work through the application of analytic tools to a policy and institutional problem. The goal is to produce recommendations for policymakers that are technically rigorous, practical, and politically relevant. Students will work with seminar leaders and faculty advisors to conceptualize policy and institutional problems for a client. Some students establish a real relationship with a client, but",Full Term,Th,3:00pm - 4:15pm,"Jensen, Anders",4.394,3.278,-0.0406666666666666,-0.0243333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DEV 250Y A(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Business and Human Rights,IGA 331M,Johnson,One of the fastest growing areas in human rights practice is the effort to achieve full respect for international human rights law and norms by private business.  This class will address different approaches to the topic relevant to students’ decisions on how to engage in the field of business and human rights in their professional futures.Human rights norms and treaties initially focused on government obligations to individuals to promote and protect the conditions of human dignity a,Spring 2,M/W,10:30am - 11:45am,"Johnson, Douglas",4.4606666666666674,3.586,0.0260000000000007,0.283666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 331M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Native Americans in the 21st Century: Nation Building I,DEV 501M,Kalt,"This course examines the challenges that contemporary Native American tribes and nations face as they endeavor to rebuild their communities, strengthen their cultures, and support their citizens. The range of issues that Native leaders and policymakers confront is wide and encompasses political sovereignty, economic development, constitutional reform, cultural promotion, land and water rights, religious freedom, health and social welfare, and education. Because the challenges are broad and compr",January,M/T/W/Th/F,10:00am - 4:30pm,"Kalt, Joseph",4.564705882352941,2.9011764705882355,0.130039215686274,-0.401156862745098,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DEV 501M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Program Evaluation and Education Policy,API 211,Kane,"Do charter schools improve student outcomes?  Is high dosage tutoring likely to help students catchup following the pandemic?  Education policy debates often boil down to causal claims regarding the efficacy or inefficacy of a program or policy. In order to participate in those debates or to choose a curriculum or intervention for a school district or non-profit in the future, you must become a discerning consumer of quantitative impact evidence. In the course, we will discus",Full Term,M,4:30pm - 7:15pm,"Kane, Thomas",3.85,3.95,-0.584666666666667,0.647666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 211(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Mitigating and Managing a Crisis,MLD 381,Kayyem,"How an institution responds to a variety of crises - whether a terrorism attack, a major hurricane, a plane crash, a foreign entity abusing a social media platform – is one of the most challenging and consequential aspects of leadership.  Understanding what a crisis is, when you are in it, and what skills are needed to manage through it is an essential skill for government and private sector leaders.  To understand crises response takes more than skills in communication, leadersh",Full Term,W,4:30pm - 7:15pm,"Kayyem, Juliette",4.196315789473684,3.047368421052632,-0.238350877192983,-0.254964912280701,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 381(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Economic Development: Using Analytical Frameworks for Smart Policy Design,DEV 102M,Khwaja,"This course examines how economic theory and rigorous evidence can be harnessed to design development policies that respond to market and political failures in developing economies. The course builds on the analytical framework and evidence base provided in DEV-101 (which is a prerequisite). Topics covered include: Policy Design, Education, Health, Finance, Governance and Political Economy. Prerequisite: DEV-101.",Spring 1,M/W,3:00pm - 4:15pm,"Khwaja, Asim",4.16375,3.55125,-0.270916666666667,0.248916666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DEV 102M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
The U.S. Congress and Law Making,DPI 120,King,"The United States Congress is the ""board of directors"" for the Federal Government, and it plays the central role in most national policy decisions. Yet how it works - the real story of how it works - is largely unknown, even among people who have worked in policymaking for a long time. Taught by the faculty chair of Harvard's Bipartisan Program for Newly Elected Members of Congress, this course puts students in the midst of legislative politics through academic readings and real-wo",Full Term,T/Th,9:00am - 10:15am,"King, David",4.367941176470588,3.147647058823529,-0.0667254901960792,-0.154686274509804,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 120(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Speechwriting,DPI 835M C,Krupin,"What makes a speech persuasive and memorable – and how do you write one? How can storytelling help political, corporate, and community leaders achieve their goals? What is the role of the speech in our country’s evolving dialogue? This course will explore the techniques speechwriters and speakers use, from research to rhetoric, to shape messages that move people and change the world.",Spring 2,F,1:30pm - 4:15pm,"Krupin, Stephen",4.751250000000001,4.115,0.316583333333334,0.812666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 835M C(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Empirical Methods II,API 203M Z,Layton,"This course is a 6-week module that follows on API-202M, allowing students to further specialize in a particular area of evidence for policy making. First year MPP students can select among the following three options. Section A (Michela Carlana) Causal Inference and Prediction: This module will delve deeper into quantitatively evaluating the impact of programs through quasi-experimental study designs, and assessing the strengths and weaknesses of different approaches. Students will also be",Spring 2,T/Th,10:30am - 11:45am,"Layton, Tim",4.34,3.455,-0.0946666666666669,0.152666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 203M Z(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Empirical Methods II,API 202M Z,Layton,"Intended as a continuation of API-201, this 5-week module equips students with an understanding of common tools of quantitative empirical analysis in policy applications. Much of the learning will take place through hands-on analysis of data sets, as well as case studies illustrating critical concepts. The course will cover describing relationships between multiple variables, handling data in the real world, the challenges surrounding making causal claims, and interpreting the results of studies",Spring 1,T/Th,10:30am - 11:45am,"Layton, Tim",4.34,3.455,-0.0946666666666669,0.152666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 202M Z(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Management, Finance, and Regulation of Public Infrastructure in Developing Countries",DEV 209,"Lee, Henry","This course explores efforts to manage, finance, and regulate the transportation, water, sanitation, and energy infrastructure systems in developing countries. Issues to be discussed include public-private partnerships (PPPs), the fundamentals of project finance, contract and discretionary regulation, corruption, stakeholder involvement, and managing the political and strategic context in which infrastructure decisions are made. The course will rely on case material taken from infrastructure pro",Full Term,M/W,3:00pm - 4:15pm,"Lee, Henry",4.017083333333333,3.459166666666667,-0.417583333333334,0.156833333333334,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DEV 209(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Resources, Incentives, and Choices II: Analysis of Public Policy",API 102 Z,Liebman,"This course builds on API-101 to develop microeconomic and macroeconomic tools of analysis for policy problems through various policy applications. The course is broadly focused on evaluating the rationale for government intervention in the economy and evaluating the efficiency, incentive, and distributional effects of government policies.",Full Term,M/W,9:00am - 10:15am,"Liebman, Jeffrey",4.372857142857144,3.311428571428571,-0.0618095238095231,0.0090952380952376,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 102 Z(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Policy and Social Innovations for the Changing Arctic,IGA 671M,Logadottir,"Climate change is transforming the Arctic region. The region is warming at least twice as fast as the global average, and as the ice retreats on the top of our planet, it is unleashing challenges with local, regional, and global implications across multiple policy domains, including environment, economic development, security, culture, and human rights. Impacts are disproportionately affecting indigenous communities that have lived in the Arctic for thousands of years. Through the lens of the ra",January,M/T/W/Th/F,9:00am - 5:00pm,"Logadottir, Halla",4.925,3.16,0.490333333333333,-0.142333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 671M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Reasoning from the Past: Applied History and Decision Making,IGA 125,Logevall,"This course provides a basis for using history as a tool for analyzing foreign, security, and scientific policy. It also calls attention to some common fallacies in reasoning from history and discusses ways to avoid them. Along the way, we will consider the evolution of the modern international system and particularly the evolving role of the United States. ",Full Term,M/W,1:30pm - 2:45pm,"Logevall, Fredrik",4.702500000000001,3.21,0.267833333333334,-0.0923333333333334,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 125(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Op-Ed Writing,DPI 831M D,Loth,"This course focuses on persuasive communication; think of it as writing for people who are not paid to read you. It will give students confidence in how to frame, structure, write, and edit opinion pieces, with an emphasis on the clarity, concision, and persuasive power of their argument. The course, which is run as a series of seminars and writing workshops, will draw on the work of both seasoned op-ed writers and students. Active participation in class discussions, draft feedback, and exercise",Spring 2,M/W,3:00pm - 4:15pm,"Loth, Renee",4.145,2.97,-0.289666666666667,-0.332333333333334,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 831M D(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Advanced Workshop in Multiparty Negotiation and Conflict Resolution,MLD 280,Mandell,"This intensive skill-building workshop on multiparty negotiation and conflict resolution (NCR) aims to help participants manage complex multi-stakeholder negotiations; mediate public disputes; design consensus-building procedures; examine cross-cultural differences and ethical dilemmas; and sustain cooperative relationships. The emphasis is on the NCR challenges faced by managers in the public and nonprofit sectors. Small groups will do intensive exercises, and participants will be provided with",January,M/T/W/Th/F/S,9:00am - 6:00pm,"Mandell, Brian",4.709473684210527,4.678245614035088,0.274807017543861,1.37591228070175,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 280(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Affordable and Mixed-Income Housing Development, Finance, and Management",SUP 666,Marchant,"Explores issues relating to the development, financing, and management of housing affordable to very low, low, and moderate income households. Examines community-based development corporations, public housing authorities, housing finance agencies, private developers, and financial intermediaries. Identifies, defines, and analyzes seven general public and private subsidy categories: development cost, financing, operating, rental assistance, tax credit, entitlement, and project-generated cross inc",Full Term,T/Th,9:00am - 10:15am,"Marchant, Edward",4.2224,3.6488,-0.212266666666666,0.346466666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 666(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Middle Eastern Politics and Policy,IGA 655,Masoud,"Explores the major political, economic, social, and security challenges facing - and emanating from - the Middle East. Particular attention paid to the causes of the so-called Arab Spring and the prospects for genuine democratization. Explores the role of colonial legacies, Islam, peculiarities of the physical environment, demographic patterns, cultures of patriarchy, the distortions of foreign aid and oil wealth, and the machinations of great powers in generating the region's particular pat",Full Term,Th,4:30pm - 7:15pm,"Masoud, Tarek",4.2525,3.4520000000000004,-0.182166666666667,0.149666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 655(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
